seta: .word 19, 14
.byte 199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,87,87,87,87,23,31,199,199,199,199,199,199,199,199,199,
199,199,199,199,31,31,31,31,31,31,31,199,199,199,199,199,199,199,199,
199,199,199,199,31,31,31,31,31,31,31,31,199,199,199,199,199,199,199,
199,199,199,199,31,31,31,31,31,31,31,31,31,23,199,199,199,199,199,
199,199,199,199,31,31,31,31,31,31,31,31,31,31,31,199,199,199,199,
199,199,199,199,31,31,31,31,31,31,31,31,31,31,31,199,199,199,199,
199,199,199,199,31,31,31,31,31,31,31,31,31,23,199,199,199,199,199,
199,199,199,199,31,31,31,31,31,31,31,31,199,199,199,199,199,199,199,
199,199,199,199,31,31,31,31,31,31,31,199,199,199,199,199,199,199,199,
199,199,199,199,87,87,87,87,23,31,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,


