pedra: .word 16, 16
.byte 0,0,0,0,0,0,183,183,183,183,183,0,0,0,0,0,
10,10,10,10,183,183,183,183,20,183,183,183,0,10,10,10,
10,10,183,183,183,183,183,183,183,183,20,183,183,10,10,10,
10,183,183,183,183,183,183,183,183,183,183,183,183,183,10,10,
0,183,183,183,183,183,183,183,183,183,20,183,20,183,183,0,
183,183,183,183,183,183,183,20,183,20,183,183,183,183,183,183,
183,183,183,183,20,183,20,183,20,183,183,20,183,183,183,20,
183,20,183,20,183,183,183,20,183,183,20,183,183,183,10,183,
183,183,183,20,183,183,183,20,20,183,183,183,20,10,20,20,
20,183,183,183,183,183,183,183,20,20,183,20,183,20,10,0,
183,183,183,183,183,20,183,183,183,20,20,183,20,10,20,0,
183,20,183,183,20,20,183,20,20,183,183,183,10,20,10,0,
0,183,20,183,20,183,183,183,183,20,183,10,20,10,20,0,
0,10,183,20,183,20,183,20,20,20,10,20,10,20,0,0,
0,10,10,0,20,0,20,0,20,0,20,0,20,0,0,0,
0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,10,


