lamaresq: .word 16, 16
.byte 199,199,199,199,199,199,0,0,0,0,199,199,199,199,199,199,
199,199,199,199,199,66,0,0,8,8,9,199,199,199,199,199,
199,199,199,199,9,9,82,83,83,9,8,8,199,199,199,199,
199,199,199,199,92,93,102,102,101,82,8,8,8,199,199,199,
199,199,199,199,101,101,102,101,101,82,9,8,8,199,199,199,
199,199,199,84,93,84,83,92,101,92,73,8,9,199,199,199,
199,199,199,74,83,10,82,83,92,92,73,9,199,199,199,199,
199,199,199,84,92,92,84,92,92,93,91,84,199,199,199,199,
199,199,199,93,101,93,93,93,93,93,102,93,199,199,199,199,
199,199,199,84,83,84,93,93,92,92,101,102,199,199,199,199,
199,199,199,199,83,83,83,92,92,92,101,102,199,199,199,199,
199,199,199,199,75,83,83,83,92,92,85,102,199,199,199,199,
199,199,199,93,83,84,92,83,92,102,199,102,199,199,199,199,
199,199,199,199,83,83,83,83,93,102,199,199,199,199,199,199,
199,199,199,199,199,83,85,199,199,102,199,199,199,199,199,199,
199,199,199,199,199,102,199,199,199,94,199,199,199,199,199,199,


